# potentia sieve, alphabet lower27, dictionary sha256 47810b49e2abe0ce884aaea5e6c637f0d78bce9736f2e345087bcc3c00fafec4
length,log10_units,clean,window,words,log10_frac_clean,log10_frac_window,log10_frac_words,verified_by,pruned_window_states,log10_frac_prefix_tree_explored
1,1.4314,26,26,2,-0.0164,-0.0164,-1.1303,counted,,
2,2.8627,728,661,131,-0.0006,-0.0425,-0.7455,counted,,
3,4.2941,19630,9143,1411,-0.0012,-0.3330,-1.1446,counted,,
4,5.7255,529308,76477,7909,-0.0017,-0.8419,-1.8273,counted,,
5,7.1568,14272388,514640,44033,-0.0023,-1.4453,-2.5130,counted,,
6,8.5882,384844096,4191415,402890,-0.0029,-1.9658,-2.9830,counted,,
7,10.0195,10377028584,34296109,3469936,-0.0035,-2.4843,-3.4792,counted,,
8,11.4509,279808689680,252903890,24128085,-0.0040,-3.0480,-4.0684,counted,,
9,12.8823,7544828674864,1817711260,166639153,-0.0046,-3.6227,-4.6605,counted,,
10,14.3136,203440571478144,13678960194,1291860830,-0.0052,-4.1776,-5.2024,counted,,
11,15.7450,5485620403978208,104541213822,10088192982,-0.0058,-4.7257,-5.7412,counted,,
12,17.1764,147915585361865152,781085557702,74418884945,-0.0064,-5.2837,-6.3047,counted,,
13,18.6077,3988431349911927360,5782065186055,544304522320,-0.0069,-5.8456,-6.8719,counted,,
14,20.0391,107545020317118605312,43267524017952,4097004982788,-0.0075,-6.4029,-7.4266,counted,,
15,21.4705,2899869743342793849472,325553709302897,31027974648103,-0.0081,-6.9578,-7.9787,counted,,
16,22.9018,78192783855157723824384,2436963417876983,231682757753644,-0.0087,-7.5150,-8.5369,counted,,
17,24.3332,2108408993561013459520256,18184855907176174,1722818915764483,-0.0092,-8.0735,-9.0969,counted,,
18,25.7645,56851646212820450766960640,136023345933502157,12900173560646272,-0.0098,-8.6309,-9.6540,counted,,
19,27.1959,1532961435365918069888503296,1019260423476873311,96843553250290264,-0.0104,-9.1876,-10.2098,counted,,
20,28.6273,41335140121047201537042062336,7629175914117903314,724583467679261071,-0.0110,-9.7448,-10.7672,counted,,
21,30.0586,1114570640466741109780194706432,57048752993024008140,5412973061852891650,-0.0115,-10.3024,-11.3252,counted,,
22,31.4900,30053550295282496094248155987968,426804972285473207906,40502268066414064964,-0.0121,-10.8598,-11.8825,counted,,
23,32.9214,810371144329480167304737118054400,3194799839452050390283,303327869967759567133,-0.0127,-11.4169,-12.4395,counted,,
24,34.3527,21851042060243829248373617125101568,23909152921752526466562,2269954873543215348916,-0.0133,-11.9742,-12.9967,counted,,
25,35.7841,589196743318906044807637210322055168,178879550827962279641478,16978574427860767797807,-0.0138,-12.5315,-13.5542,counted,,
26,37.2155,15887242419857896725456281513626075136,1338432190941560137533250,127039017483247485218489,-0.0144,-13.0889,-14.1115,counted,,
27,38.6468,428387418242596872026861886822651387904,10016083678780344705060697,950815050174566445128151,-0.0150,-13.6461,-14.6687,counted,,
28,40.0782,11551141177223823987560272376743214039040,74952147196266384049606753,7115181853339058080040408,-0.0156,-14.2034,-15.2260,counted,,
29,41.5095,311467743482126942349265490852712501100544,560835611936544771825582916,53236384699461168350262623,-0.0161,-14.7607,-15.7833,counted,,
30,42.9409,8398491001143119924757469843965848593629184,4196551628826775057872347717,398347049498888037964213696,-0.0167,-15.3180,-16.3407,counted,,
31,44.3723,226458927360256418544775118705282588462972928,31402742645794017308174768859,2980925325422301303396529286,-0.0173,-15.8753,-16.8979,counted,,
32,45.8036,6106292877396388000207847302280459363471654912,234985483135365744444140399467,22306300632337358894527961108,-0.0179,-16.4326,-17.4552,counted,,
33,47.2350,164651546923672754887568182945629290750300323840,1758349482067973178873433308110,166910840180347342602341908639,-0.0184,-16.9899,-18.0125,counted,,
34,48.6664,4439703834827797715082176786445653502958071447552,13157383003415258710596156016323,1248955142300075773835403031186,-0.0190,-17.5472,-18.5698,counted,,
35,50.0977,119713239925538232219213369204173352636417666056192,98455182002073819718744197768330,9345863169370396052210785485775,-0.0196,-18.1045,-19.1271,counted,,
36,51.5291,3227976537769516778291684195756094159623769175097344,736729209425653281095395246602419,69934262526596083654921667023421,-0.0202,-18.6618,-19.6844,counted,,
37,52.9605,87039934220071430273283336688966955318764857869991936,5512832517788540037933167634529761,523305387083617656353002517955621,-0.0207,-19.2191,-20.2417,counted,,
38,54.3918,2346965679703864623340950543002799286438104303172321280,41251658862282383136424297580135905,3915805026756218026751817567902402,-0.0213,-19.7764,-20.7990,counted,,
39,55.8232,63284145962022337393970080871985922285678598187100143616,308680531457715123567656159051399162,29301489437982721107399324139770701,-0.0219,-20.3337,-21.3563,counted,,
40,57.2546,1706408902684881252450086816789706760875034264747084087296,2309815502263979322877696263529463046,219259386702520846713643806364701245,-0.0225,-20.8910,-21.9136,counted,,
41,58.6859,46012019264819493335945479339204009762178534436288790003712,17284019488567226070350658697059822689,1640685219542324704658562314983193365,-0.0230,-21.4483,-22.4709,counted,,
42,60.1173,1240679132355113739298284720055836629599392786226932726366208,129333801897142769011441898947827128407,12277001504588287154206844238233351862,-0.0236,-22.0056,-23.0282,counted,,
43,61.5486,33453969942118264048489985184271056623400854337243759425617920,967786666658681996711900125133993133832,91867114988269248023488123959515790689,-0.0242,-22.5629,-23.5855,counted,,
44,62.9800,902060875936307822482495017512499224578006425210237995951587328,7241813324413657598279398118200608143683,687429096751923724345391845744720337418,-0.0248,-23.1202,-24.1428,counted,,
45,64.4114,24323385992839078249805610070116027311236589268234525639807336448,54189466365539869718937972720460234300381,5143933884216407517908112680225070074496,-0.0253,-23.6775,-24.7001,counted,,
46,65.8427,655861618588160037879490732278341689931179488029563854529732018176,405492066624039785627702032348276209776171,38491318482637666605547792072739448628336,-0.0259,-24.2348,-25.2574,counted,,
47,67.2741,17684810119105977019361704901059900648302818009742757884408023220224,3034239918043714460000060239559450496787259,288025128867838715141192321927334851040582,-0.0265,-24.7920,-25.8147,counted,,
48,68.7055,476857465180047563488271086466794300794083934942080365212381636198400,22704791040072964669485880197941848011112854,2155251784649560717841733700077869136797201,-0.0271,-25.3493,-26.3720,counted,,
49,70.1368,12858099157777992053198452575564209237502055576747401200516531144884224,169896748994715319892890530144917001754028771,16127444545164254897779417114502786862840630,-0.0276,-25.9066,-26.9293,counted,,
50,71.5682,346708872196909030033854815212806091995699627303926520708951732308148224,1271313349891671296708191942654988603114604523,120679380915147182378990118276399464566237406,-0.0282,-26.4639,-27.4866,counted,,
51,72.9996,9348741255221862574263384962497627832063243754897521969646174849778843648,9513058368193205380527763897185630210942117766,903026788299285578402926329938454470483913206,-0.0288,-27.0212,-28.0439,counted,,
52,74.4309,252081703312888061711728234220471282025532527937237660749233291134261788672,71184875009737373044835110347836639503894017177,6757222370363840702089266377810675651903077765,-0.0294,-27.5785,-28.6011,counted,,
53,75.8623,6797191558770858031435782098757191656297490063995514750690866115585056440320,532666378524921048793169641377853346299435977295,50563341557702006409727019941888507677657357557,-0.0299,-28.1358,-29.1584,counted,,
54,77.2936,183281104814177398421835268657419236396398587390251562697442584574702273953792,3985867315759533469274259469158637511645919855567,378358341592751222075305883155778109435643560967,-0.0305,-28.6931,-29.7157,counted,,
55,78.7250,4942035705696654667785047319660587129370098013810424013651469717947470590246912,29825682663656176484268008836161890753287175496434,2831202083869015639634481061394216685707787143415,-0.0311,-29.2504,-30.2730,counted,,
56,80.1564,133258237073281633721378947296268165509928911631217564985071719865576494469218304,223181376327174829612598419890953785628247478144706,21185485997421794222022116864125416222127561322965,-0.0317,-29.8077,-30.8303,counted,,
57,81.5877,3593207092253435498118263860014147568621774250770727713966802929171623091546095616,1670034753206747100836924026785145126225664175378986,158528002856590542089559734044319094404138556242020,-0.0323,-30.3650,-31.3876,counted,,
58,83.0191,96888098562494645427830712990070809087424282222450577252748740874967189236398161920,12496634401084421836091143136105838345952609560968105,1186242671099030086482821768407414302681079283562388,-0.0328,-30.9223,-31.9449,counted,,
59,84.4505,2612513947023450104074673398102208873057197468303753929134604138907609120526550695936,93510551953005225280720917053477318399781418352051947,8876486529082172077785306463180708658702768212149988,-0.0334,-31.4796,-32.5022,counted,,
60,85.8818,70444453185234563487065106888399271735760165513681317166071174874346984053836670304256,699726267534354927856280179636879597735192592966053513,66421496506564832469111632137417558808676389163740851,-0.0340,-32.0369,-33.0595,counted,,
61,87.3132,1899481145438708353369634287449038495829251437531611848475350254344619422533443746004992,5235952938036792301214444266110197653885703460068644051,497022687259622245532597041142285377343023646307315492,-0.0346,-32.5942,-33.6168,counted,,
62,88.7446,51218065564222515838274184252773381956690301679177622306676957159693126571269290824040448,39179897066906310067547326196142371958183454252250068627,3719150637551925988952351473712119434082314494952511106,-0.0351,-33.1515,-34.1741,counted,,
63,90.1759,1381056214451191828982739282045782931765508381034440088033959992764981395838871098821181440,293177641701796648244872570778407291574410659185887946392,27829879466760239831551049164481585607287866317226137700,-0.0357,-33.7088,-34.7314,counted,,
64,91.6073,37239131280400772965346350123762464156777165750554060468856560698041537582663650130775769088,2193806928581210370260407451443197817428912784987705104543,208247061649023250971541732387185193873001374971851639157,-0.0363,-34.2661,-35.2887,counted,,
80,114.5091,2908107767580666047926840356247369353942266762456347624387516699330892501550135157707655996890756515693703741833216,211972395969438126568931164023661186674881131856105610271619846704886040,20121473786912034206122644006984093195786737001172009711615610064528612,-0.0455,-43.1828,-44.2054,counted,,
100,143.1364,120053324363594391792554694098520332270299939212068368942871379440798686248614219017912721292144685838657058566685542527444233088261250063794176,64214105909482192466994958675685709773673627763502085840217663376865848127649351477774174,6095522215990216124199229809407232489022467490390117377299690714138377498930946533239301,-0.0570,-54.3287,-55.3514,counted,,
128,183.2146,1384979554316587999041589777796802163131074812584887857173613160584106445927394590300901103554702356073399712117994259308174827586937341373606475744517023708805677845124266598428835840,191215029013235522733875650443187109216588440250774918980505341669666548822345615981861490763199233346503920603996,18151081306409354884034491576544681028959454083879594444549671873056740545028261227447019184810243147402959600616,-0.0731,-69.9330,-70.9557,counted,,
200,286.2728,14394369969190961004509657968289993204108129060455485222227361358957760297244149884134284000370541483819513423464219398833648803265448374549414024274041698419198714013818959663396208509125340978514837532273929399652604021394940280704902682180287055745588582767000312428346767740529278976,163827232983314477027990110591484101423905472329286085779104964850405162119504644296655524850307118212670501001159632702110314094158974290477953984481194935237712268594605129787,15551295530637290892389426883822014610465526144105223992880325479194882458620649891276887488171165782807566289323296209668987463890750857101160807872009507253818717326282148106,-0.1146,-110.0584,-111.0810,counted,,
256,366.4291,1915715461140208837473997980232282704978180449264472208105990964234101438091868071833445192053638540266902197171683910428924393234603896378777162340513446140346409827918593485303022264498671575687001856106396906021474942557913999496220538303662409587442139067847946403715082163174509121678380949243207500970835259729979991665496751161774196600908118895798875433467904,1452677679440059557056868403236656036722922378574718043903357012132163991002461640914294318720614291265416446898609534934411575376597006416886925822919620628504163803721953968628585617720823476647080402821539325187386642797706,137895388284032154875155932087201867673438429951787732698284913863596362238020118139521060862467473729447345641035441745072790650094852311233023160291068094828964729907156589903651161521917017290879741322343654330438034324096,-0.1468,-141.2670,-142.2896,counted,,
500,715.6819,24811217283650861285383407809091452485755606242411282052446397078597735901155823159490398179948956690626071274105832080593245827674041756012017740907483350993195410093369524069488139004231620542304936656373983828990588605371077173686272894724904737661694149321583012450536166491235896439235427885824337724317296005626922515784007429881454797797112852179080013104447098142805358819677334145563731545586139874038037857398885811154281808589807095974443257174931860608273301197457524056563343885956993419228626782088985367815335965396084141930239007271958688258032577639631689160708208897194131122265374202786525307963820010470510203090716145729200140240234699115017897260534383022981830577909429401970246725071458533376,2720527151426144212305358790077200752433552128008978054276062288438895059941514905711979860599585566959713611532133524110540802640433822821395455191755247813666241650706578844469772878133072057536331245526996862921429547556829245691466967321209781134638634094265535828296277626695829286365143432708425971237443156530867856342543485145616619852904091542975730185479510832358084566010963625883020426465273992283747934803730505076059459677985,258245964120383854354796046335036212573676589682575026950002271281567508437418424231267498966593527216963406597009048909165248039871871744047545787018397052582689952183190781735780013297954085245713199184068677713093704578445167792928610654448553861114408543363217879252410959564954113977447351106822514471084505629543849254830528157206085609887329007107118281746504288997917502939362563545794650668569803305170144206927507080470405985223,-0.2872,-277.2472,-278.2698,counted,,
