# potentia sieve, alphabet lower27, dictionary sha256 4701b149b996d450369b55078c0dc0d4346125b173e3a3b370aa3b1052adf97b
length,log10_units,clean,window,words,log10_frac_clean,log10_frac_window,log10_frac_words,verified_by,pruned_window_states,log10_frac_prefix_tree_explored
1,1.4314,26,26,2,-0.0164,-0.0164,-1.1303,counted+brute+pruned,28,0.0000
2,2.8627,728,665,170,-0.0006,-0.0399,-0.6323,counted+brute+pruned,693,-0.0384
3,4.2941,19630,9122,1403,-0.0012,-0.3340,-1.1470,counted+brute+pruned,9815,-0.3186
4,5.7255,529308,75747,6655,-0.0017,-0.8461,-1.9023,counted+brute+pruned,85562,-0.8096
5,7.1568,14272388,511399,48390,-0.0023,-1.4481,-2.4721,counted+brute+pruned,596961,-1.3973
6,8.5882,384844096,4139491,463029,-0.0029,-1.9712,-2.9226,counted+brute+pruned,4736452,-1.9291
7,10.0195,10377028584,32731781,3379156,-0.0035,-2.5046,-3.4907,counted+pruned,37468233,-2.4623
8,11.4509,279808689680,237337999,22452504,-0.0040,-3.0755,-4.0996,counted,,
9,12.8823,7544828674864,1732023245,171209415,-0.0046,-3.6437,-4.6487,counted,,
10,14.3136,203440571478144,13085040756,1340690943,-0.0052,-4.1969,-5.1863,counted,,
11,15.7450,5485620403978208,98047034060,9800956943,-0.0058,-4.7536,-5.7537,counted,,
12,17.1764,147915585361865152,723269294147,71277121395,-0.0064,-5.3171,-6.3234,counted,,
13,18.6077,3988431349911927360,5366502078845,536203469658,-0.0069,-5.8780,-6.8784,counted,,
14,20.0391,107545020317118605312,40090459595244,4026179063670,-0.0075,-6.4361,-7.4342,counted,,
15,21.4705,2899869743342793849472,298408705419960,29754673696436,-0.0081,-6.9956,-7.9969,counted,,
16,22.9018,78192783855157723824384,2214930917299682,220502291504330,-0.0087,-7.5565,-8.5584,counted,,
17,24.3332,2108408993561013459520256,16474472877316147,1646058009481384,-0.0092,-8.1164,-9.1167,counted,,
18,25.7645,56851646212820450766960640,122670291277184608,12260562500691336,-0.0098,-8.6758,-9.6760,counted,,
19,27.1959,1532961435365918069888503296,912381718180897235,91028015183045413,-0.0104,-9.2357,-10.2367,counted,,
20,28.6273,41335140121047201537042062336,6783362076746283504,676816793148756183,-0.0110,-9.7958,-10.7968,counted,,
21,30.0586,1114570640466741109780194706432,50462530783031700092,5039208041811011534,-0.0115,-10.3557,-11.3563,counted,,
22,31.4900,30053550295282496094248155987968,375442014174810366749,37486792152557004487,-0.0121,-10.9155,-11.9161,counted,,
23,32.9214,810371144329480167304737118054400,2792467910725559195778,278711414560393967626,-0.0127,-11.4754,-12.4762,counted,,
24,34.3527,21851042060243829248373617125101568,20769461516890292857329,2073194366164021188846,-0.0133,-12.0353,-13.0361,counted,,
25,35.7841,589196743318906044807637210322055168,154498716325139645219291,15424628737424723250254,-0.0138,-12.5952,-13.5959,counted,,
26,37.2155,15887242419857896725456281513626075136,1149266844737335794210088,114730399563707170173953,-0.0144,-13.1550,-14.1558,counted,,
27,38.6468,428387418242596872026861886822651387904,8548449083376732737281520,853321919163087985679205,-0.0150,-13.7149,-14.7157,counted,,
28,40.0782,11551141177223823987560272376743214039040,63585649225311097384806484,6347519037301044563918445,-0.0156,-14.2748,-15.2756,counted,,
29,41.5095,311467743482126942349265490852712501100544,472981772133917420075048557,47217427284813960545125741,-0.0161,-14.8347,-15.8354,counted,,
