# sieve sift, alphabet lower27, dictionary sha256 fa4dfcfc6e792cf3b308d041b02955bd1fddb8559a220a6e52666abba59d02d1
length,log10_units,clean,window,words,log10_frac_clean,log10_frac_window,log10_frac_words,verified_by,pruned_window_states,log10_frac_prefix_tree_explored
1,1.4314,26,26,1,-0.0164,-0.0164,-1.4314,counted,,
2,2.8627,728,560,44,-0.0006,-0.1145,-1.2193,counted,,
3,4.2941,19630,5893,567,-0.0012,-0.5238,-1.5405,counted,,
4,5.7255,529308,35750,2979,-0.0017,-1.1722,-2.2514,counted,,
5,7.1568,14272388,214300,10648,-0.0023,-1.8258,-3.1296,counted,,
6,8.5882,384844096,1461999,64081,-0.0029,-2.4232,-3.7815,counted,,
7,10.0195,10377028584,9045983,516118,-0.0035,-3.0631,-4.3068,counted,,
8,11.4509,279808689680,50199885,3199925,-0.0040,-3.7502,-4.9458,counted,,
9,12.8823,7544828674864,285159682,16205416,-0.0046,-4.4272,-5.6726,counted,,
10,14.3136,203440571478144,1737922206,89586777,-0.0052,-5.0736,-6.3614,counted,,
11,15.7450,5485620403978208,10555729044,577237236,-0.0058,-5.7215,-6.9836,counted,,
12,17.1764,147915585361865152,61578697298,3589530999,-0.0064,-6.3869,-7.6213,counted,,
13,18.6077,3988431349911927360,356804731835,20421236666,-0.0069,-7.0553,-8.2976,counted,,
14,20.0391,107545020317118605312,2115059162476,116006463028,-0.0075,-7.7138,-8.9746,counted,,
15,21.4705,2899869743342793849472,12641199966394,695830344321,-0.0081,-8.3687,-9.6280,counted,,
16,22.9018,78192783855157723824384,74669926881757,4216065434668,-0.0087,-9.0287,-10.2769,counted,,
17,24.3332,2108408993561013459520256,437936629527804,24802533765512,-0.0092,-9.6918,-10.9387,counted,,
18,25.7645,56851646212820450766960640,2582664119119256,144185507274851,-0.0098,-10.3525,-11.6056,counted,,
19,27.1959,1532961435365918069888503296,15311421867350849,850907648751698,-0.0104,-11.0109,-12.2660,counted,,
20,28.6273,41335140121047201537042062336,90572041272448938,5071749133264674,-0.0110,-11.6703,-12.9221,counted,,
21,30.0586,1114570640466741109780194706432,533878901490243973,30019650758601036,-0.0115,-12.3312,-13.5812,counted,,
22,31.4900,30053550295282496094248155987968,3148910497138084449,176419254818726508,-0.0121,-12.9918,-14.2435,counted,,
23,32.9214,810371144329480167304737118054400,18613647426670218895,1039555899051627915,-0.0127,-13.6515,-14.9045,counted,,
24,34.3527,21851042060243829248373617125101568,110034416833489236083,6154757762763828704,-0.0133,-14.3112,-15.5635,counted,,
25,35.7841,589196743318906044807637210322055168,649636730342077552048,36415421483368951456,-0.0138,-14.9714,-16.2228,counted,,
26,37.2155,15887242419857896725456281513626075136,3834328169835577188608,214830098958703297676,-0.0144,-15.6318,-16.8834,counted,,
27,38.6468,428387418242596872026861886822651387904,22646987604628153342515,1267147162390969429967,-0.0150,-16.2918,-17.5440,counted,,
28,40.0782,11551141177223823987560272376743214039040,133802058672132157506661,7486661583623979981278,-0.0156,-16.9517,-18.2039,counted,,
29,41.5095,311467743482126942349265490852712501100544,790246924580795660982864,44252341328602350260251,-0.0161,-17.6118,-18.8636,counted,,
30,42.9409,8398491001143119924757469843965848593629184,4666122460305044227202495,261331677020622350045996,-0.0167,-18.2720,-19.5237,counted,,
31,44.3723,226458927360256418544775118705282588462972928,27556132800384961606230968,1542629899228632531086786,-0.0173,-18.9321,-20.1840,counted,,
32,45.8036,6106292877396388000207847302280459363471654912,162763308412880353167193826,9110157166699754647096842,-0.0179,-19.5921,-20.8441,counted,,
33,47.2350,164651546923672754887568182945629290750300323840,961322400531121165873789873,53819194128597180722735760,-0.0184,-20.2521,-21.5041,counted,,
34,48.6664,4439703834827797715082176786445653502958071447552,5677169907802689809534375717,317879675977567657533680897,-0.0190,-20.9122,-22.1641,counted,,
35,50.0977,119713239925538232219213369204173352636417666056192,33527422138657761934065482031,1877090298102380876472947380,-0.0196,-21.5723,-22.8242,counted,,
36,51.5291,3227976537769516778291684195756094159623769175097344,198015288732260666308474544607,11085056925716401380432167136,-0.0202,-22.2324,-23.4844,counted,,
37,52.9605,87039934220071430273283336688966955318764857869991936,1169499302223695068103637306004,65472247082821232052863560706,-0.0207,-22.8925,-24.1444,counted,,
38,54.3918,2346965679703864623340950543002799286438104303172321280,6906912035098547087739936010371,386697742818875467198799954395,-0.0213,-23.5525,-24.8045,counted,,
39,55.8232,63284145962022337393970080871985922285678598187100143616,40790868144424859498594926713569,2283736252036368661948459758913,-0.0219,-24.2126,-25.4645,counted,,
40,57.2546,1706408902684881252450086816789706760875034264747084087296,240907974230642969009404889321695,13487000273117053344094730772849,-0.0225,-24.8727,-26.1246,counted,,
41,58.6859,46012019264819493335945479339204009762178534436288790003712,1422800769200819934878591412944534,79653965473867323669272290250728,-0.0230,-25.5328,-26.7847,counted,,
42,60.1173,1240679132355113739298284720055836629599392786226932726366208,8402964070438167671363443849926259,470442665605370424339734248091498,-0.0236,-26.1928,-27.4448,counted,,
43,61.5486,33453969942118264048489985184271056623400854337243759425617920,49626916492875650025149664732718188,2778395832040450373308266296921799,-0.0242,-26.8529,-28.1048,counted,,
44,62.9800,902060875936307822482495017512499224578006425210237995951587328,293092035766715755250586856373027362,16408729525172517145402718217612901,-0.0248,-27.5130,-28.7649,counted,,
45,64.4114,24323385992839078249805610070116027311236589268234525639807336448,1730984799811047204041312091269054746,96908417687643321537898434439415179,-0.0253,-28.1731,-29.4250,counted,,
46,65.8427,655861618588160037879490732278341689931179488029563854529732018176,10223081846779372622865909055809930202,572338584613889709000635134179835781,-0.0259,-28.8332,-30.0851,counted,,
47,67.2741,17684810119105977019361704901059900648302818009742757884408023220224,60376622999252066481585011441287822334,3380198138334622478538498505331989436,-0.0265,-29.4932,-30.7452,counted,,
48,68.7055,476857465180047563488271086466794300794083934942080365212381636198400,356579089330300940870721934839509159566,19963096292997418270607073502660770313,-0.0271,-30.1533,-31.4052,counted,,
49,70.1368,12858099157777992053198452575564209237502055576747401200516531144884224,2105929756895926181697083599847813848144,117900159197473237288180265060565607541,-0.0276,-30.8134,-32.0653,counted,,
50,71.5682,346708872196909030033854815212806091995699627303926520708951732308148224,12437469650323087197314219956962087988542,696310620212181889310583039609726184974,-0.0282,-31.4735,-32.7254,counted,,
51,72.9996,9348741255221862574263384962497627832063243754897521969646174849778843648,73454710629086072154517627159627690672899,4112364704595218223234643179935174198427,-0.0288,-32.1335,-33.3855,counted,,
52,74.4309,252081703312888061711728234220471282025532527937237660749233291134261788672,433817515211954094479706624940023686903624,24287284806081655321151063354716753389047,-0.0294,-32.7936,-34.0455,counted,,
53,75.8623,6797191558770858031435782098757191656297490063995514750690866115585056440320,2562092413991288362805195725102334422047919,143438613022513409220159499441173661534008,-0.0299,-33.4537,-34.7056,counted,,
54,77.2936,183281104814177398421835268657419236396398587390251562697442584574702273953792,15131523722838247988696490034422911505318395,847137457909103272078152446022416764063773,-0.0305,-34.1138,-35.3657,counted,,
55,78.7250,4942035705696654667785047319660587129370098013810424013651469717947470590246912,89365605887328087220920729113353032646810611,5003132039988078104350398196163206074702206,-0.0311,-34.7738,-36.0258,counted,,
56,80.1564,133258237073281633721378947296268165509928911631217564985071719865576494469218304,527786190961971917200748047143210415558874489,29548108639103253131535342199649619305242507,-0.0317,-35.4339,-36.6858,counted,,
57,81.5877,3593207092253435498118263860014147568621774250770727713966802929171623091546095616,3117063829232910195655021752608086607402057373,174508739207357315151503153805215040221374113,-0.0323,-36.0940,-37.3459,counted,,
58,83.0191,96888098562494645427830712990070809087424282222450577252748740874967189236398161920,18409137868917566580100870457467987808206751253,1030634888692330074607584770743017346199533577,-0.0328,-36.7541,-38.0060,counted,,
59,84.4505,2612513947023450104074673398102208873057197468303753929134604138907609120526550695936,108722940419574928423132692320234620705842287163,6086850928019557074464456338766330249385468489,-0.0334,-37.4141,-38.6661,counted,,
60,85.8818,70444453185234563487065106888399271735760165513681317166071174874346984053836670304256,642109177535115847750228023261875636581145088684,35948471268021547578358981314811636268277035945,-0.0340,-38.0742,-39.3261,counted,,
61,87.3132,1899481145438708353369634287449038495829251437531611848475350254344619422533443746004992,3792246543952508724338961844310788960930334578625,212308839645412063067337820668929852343904691144,-0.0346,-38.7343,-39.9862,counted,,
62,88.7446,51218065564222515838274184252773381956690301679177622306676957159693126571269290824040448,22396712813206217734911036841046483711121981661436,1253879331534284907267594185920354939947938956269,-0.0351,-39.3944,-40.6463,counted,,
63,90.1759,1381056214451191828982739282045782931765508381034440088033959992764981395838871098821181440,132273243931396915866494849402952659044971112989451,7405314011572589064953629991495873566087064537282,-0.0357,-40.0544,-41.3064,counted,,
64,91.6073,37239131280400772965346350123762464156777165750554060468856560698041537582663650130775769088,781195461351830494824727200902201931776957347160498,43735210131608184284709012739247182818625652442834,-0.0363,-40.7145,-41.9664,counted,,
80,114.5091,2908107767580666047926840356247369353942266762456347624387516699330892501550135157707655996890756515693703741833216,1711445397584784633602506502482732550532980314437303165602839136,95815228505471894837354091654221595169319998642003084457022477,-0.0455,-51.2757,-52.5277,counted,,
100,143.1364,120053324363594391792554694098520332270299939212068368942871379440798686248614219017912721292144685838657058566685542527444233088261250063794176,4561600265371025750619543758319790159456914667733536304638326533699096331335155,255381078872530036589373782308615831593817219280012741749324146756510226976821,-0.0570,-64.4773,-65.7292,counted,,
128,183.2146,1384979554316587999041589777796802163131074812584887857173613160584106445927394590300901103554702356073399712117994259308174827586937341373606475744517023708805677845124266598428835840,17995879381211253468103499302879378573823452179404104683365063481548256284462746384288782165368542871,1007498865367999034089769843835772458189585315765095821887983538313975855894991001798182026575682665,-0.0731,-82.9594,-84.2113,counted,,
200,286.2728,14394369969190961004509657968289993204108129060455485222227361358957760297244149884134284000370541483819513423464219398833648803265448374549414024274041698419198714013818959663396208509125340978514837532273929399652604021394940280704902682180287055745588582767000312428346767740529278976,613603901445024420254543018217113101151121138246659581625506545612921318304275354686091961241441733196374859459994716180434582216306064369398750127399768815,34352599358755593298956095052979401145184934440257166764829154541741508673720273179316349893812259117564582686509526754795999509585530201763123002189454105,-0.1146,-130.4849,-131.7368,counted,,
