# sieve sift, alphabet lower27, dictionary sha256 51ecd4eed87c71ca0de28627fb7f6646a7802d782e665a86848eccfba4cd8353
length,log10_units,clean,window,words,log10_frac_clean,log10_frac_window,log10_frac_words,verified_by,pruned_window_states,log10_frac_prefix_tree_explored
1,1.4314,26,26,2,-0.0164,-0.0164,-1.1303,counted+brute+pruned,28,0.0000
2,2.8627,728,606,73,-0.0006,-0.0803,-0.9994,counted+brute+pruned,634,-0.0770
3,4.2941,19630,7282,804,-0.0012,-0.4318,-1.3888,counted+brute+pruned,7916,-0.4120
4,5.7255,529308,49499,4257,-0.0017,-1.0309,-2.0964,counted+brute+pruned,57415,-0.9828
5,7.1568,14272388,303418,18896,-0.0023,-1.6748,-2.8804,counted+brute+pruned,360833,-1.6159
6,8.5882,384844096,2225590,138402,-0.0029,-2.2407,-3.4470,counted+brute+pruned,2586423,-2.1919
7,10.0195,10377028584,15435566,1094234,-0.0035,-2.8310,-3.9804,counted+pruned,18021989,-2.7801
8,11.4509,279808689680,95864319,6900947,-0.0040,-3.4693,-4.6120,counted,,
9,12.8823,7544828674864,595755158,39988288,-0.0046,-4.1072,-5.2803,counted,,
10,14.3136,203440571478144,3925113624,258769009,-0.0052,-4.7198,-5.9007,counted,,
11,15.7450,5485620403978208,25984851973,1777912405,-0.0058,-5.3303,-6.4951,counted,,
12,17.1764,147915585361865152,166956903800,11581849181,-0.0064,-5.9538,-7.1126,counted,,
13,18.6077,3988431349911927360,1065520145834,72647134771,-0.0069,-6.5802,-7.7465,counted,,
14,20.0391,107545020317118605312,6904481400347,466126564894,-0.0075,-7.2000,-8.3706,counted,,
15,21.4705,2899869743342793849472,44988310564137,3062375349098,-0.0081,-7.8174,-8.9844,counted,,
16,22.9018,78192783855157723824384,290960799525138,19930027084318,-0.0087,-8.4380,-9.6023,counted,,
17,24.3332,2108408993561013459520256,1874441415018624,127940650573028,-0.0092,-9.0603,-10.2262,counted,,
18,25.7645,56851646212820450766960640,12117648284951660,823936095461397,-0.0098,-9.6811,-10.8487,counted,,
19,27.1959,1532961435365918069888503296,78536060228411553,5347649317416799,-0.0104,-10.3008,-11.4677,counted,,
20,28.6273,41335140121047201537042062336,508220469132119181,34682616532274569,-0.0110,-10.9212,-12.0872,counted,,
21,30.0586,1114570640466741109780194706432,3283668239462098731,223982595582211523,-0.0115,-11.5423,-12.7084,counted,,
22,31.4900,30053550295282496094248155987968,21229333138980615401,1446263713940208797,-0.0121,-12.1631,-13.3298,counted,,
23,32.9214,810371144329480167304737118054400,137375788801830323015,9359692996487787518,-0.0127,-12.7835,-13.9501,counted,,
24,34.3527,21851042060243829248373617125101568,888771827614195949460,60595153179690729791,-0.0133,-13.4039,-14.5703,counted,,
25,35.7841,589196743318906044807637210322055168,5747064237922298522091,391841319964351386424,-0.0138,-14.0246,-15.1910,counted,,
26,37.2155,15887242419857896725456281513626075136,37164059651549993672073,2532975138386984382957,-0.0144,-14.6453,-15.8118,counted,,
27,38.6468,428387418242596872026861886822651387904,240393694750157380944842,16383319754170041691470,-0.0150,-15.2659,-16.4324,counted,,
28,40.0782,11551141177223823987560272376743214039040,1554989054016653358276112,105995196135637675024046,-0.0156,-15.8865,-17.0529,counted,,
29,41.5095,311467743482126942349265490852712501100544,10056953002466332822579710,685568775560738530466867,-0.0161,-16.5071,-17.6735,counted,,
30,42.9409,8398491001143119924757469843965848593629184,65042138164520594753254009,4433430519779187169938899,-0.0167,-17.1277,-18.2942,counted,,
31,44.3723,226458927360256418544775118705282588462972928,420684696628656013228243154,28673647793865809016720120,-0.0173,-17.7483,-18.9148,counted,,
32,45.8036,6106292877396388000207847302280459363471654912,2721000649077023388848009552,185469972216258889896006023,-0.0179,-18.3689,-19.5354,counted,,
33,47.2350,164651546923672754887568182945629290750300323840,17598835239533502114159611834,1199613620298221566584073824,-0.0184,-18.9895,-20.1560,counted,,
34,48.6664,4439703834827797715082176786445653502958071447552,113823438305598034356138592448,7758553231755625639147531421,-0.0190,-19.6101,-20.7766,counted,,
35,50.0977,119713239925538232219213369204173352636417666056192,736185779732362108114381206103,50179773387376046208041956037,-0.0196,-20.2307,-21.3972,counted,,
36,51.5291,3227976537769516778291684195756094159623769175097344,4761548211735379836529207542751,324558483801060456950612955174,-0.0202,-20.8513,-22.0178,counted,,
